Rowid,Country,State lgd code,State,Year,Region-wise installation of electricity,"Energy value type ( potential, capacity, generation )",Types of energy sources,Nature of energy sources,"Types of usage (utility ,captive)",Type of energy sector,Values for renewable electricity
2734,India,17,Meghalaya,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2735,India,17,Meghalaya,2013,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,135.11
2736,India,17,Meghalaya,2013,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,20.67
2737,India,17,Meghalaya,2013,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2738,India,17,Meghalaya,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,164.88
2739,India,17,Meghalaya,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,609.89
2740,India,17,Meghalaya,2013,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2741,India,17,Meghalaya,2013,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,65.96
2742,India,17,Meghalaya,2013,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2743,India,17,Meghalaya,2013,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2744,India,17,Meghalaya,2013,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2745,India,17,Meghalaya,2014,NER,Capacity,SMALL HYDRO,,,,31.03
2746,India,17,Meghalaya,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2747,India,17,Meghalaya,2014,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,278.95
2748,India,17,Meghalaya,2014,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,25.19
2749,India,17,Meghalaya,2014,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2750,India,17,Meghalaya,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,179.41
2751,India,17,Meghalaya,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,802.2
2752,India,17,Meghalaya,2014,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2753,India,17,Meghalaya,2014,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,65.96
2754,India,17,Meghalaya,2014,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2755,India,17,Meghalaya,2014,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2756,India,17,Meghalaya,2014,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2757,India,17,Meghalaya,2014,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2758,India,17,Meghalaya,2014,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2759,India,17,Meghalaya,2015,NER,Capacity,SMALL HYDRO,,,,31.03
2760,India,17,Meghalaya,2015,NER,Potential,BIOMASS,RENEWABLE,,,11
2761,India,17,Meghalaya,2015,NER,Potential,SMALL HYDRO,RENEWABLE,,,230
2762,India,17,Meghalaya,2015,NER,Potential,SOLAR,RENEWABLE,,,5860
2763,India,17,Meghalaya,2015,NER,Potential,WASTE,RENEWABLE,,,2
2764,India,17,Meghalaya,2015,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2765,India,17,Meghalaya,2015,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,154.25
2766,India,17,Meghalaya,2015,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,21.56
2767,India,17,Meghalaya,2015,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2768,India,17,Meghalaya,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,87.86
2769,India,17,Meghalaya,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,775.28
2770,India,17,Meghalaya,2015,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2771,India,17,Meghalaya,2015,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,65.96
2772,India,17,Meghalaya,2015,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2773,India,17,Meghalaya,2015,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2774,India,17,Meghalaya,2015,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2775,India,17,Meghalaya,2015,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2776,India,17,Meghalaya,2015,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2777,India,17,Meghalaya,2016,NER,Capacity,SMALL HYDRO,,,,31.03
2778,India,17,Meghalaya,2016,NER,Potential,WIND,RENEWABLE,,,82
2779,India,17,Meghalaya,2016,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2780,India,17,Meghalaya,2016,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,164.79
2781,India,17,Meghalaya,2016,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,21.89
2782,India,17,Meghalaya,2016,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2783,India,17,Meghalaya,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,175.05
2784,India,17,Meghalaya,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,860.94
2785,India,17,Meghalaya,2016,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2786,India,17,Meghalaya,2016,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,65.96
2787,India,17,Meghalaya,2016,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2788,India,17,Meghalaya,2016,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2789,India,17,Meghalaya,2016,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2790,India,17,Meghalaya,2016,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2791,India,17,Meghalaya,2016,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2792,India,17,Meghalaya,2017,NER,Capacity,SMALL HYDRO,,,,31.03
2793,India,17,Meghalaya,2017,NER,Capacity,SOLAR,,,,0.01
2794,India,17,Meghalaya,2017,NER,Potential,BIOMASS,RENEWABLE,,,11
2795,India,17,Meghalaya,2017,NER,Potential,SMALL HYDRO,RENEWABLE,,,230
2796,India,17,Meghalaya,2017,NER,Potential,SOLAR,RENEWABLE,,,5860
2797,India,17,Meghalaya,2017,NER,Potential,WASTE,RENEWABLE,,,2
2798,India,17,Meghalaya,2017,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2799,India,17,Meghalaya,2017,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,271.921
2800,India,17,Meghalaya,2017,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,18.305
2801,India,17,Meghalaya,2017,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2802,India,17,Meghalaya,2017,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,719.6
2803,India,17,Meghalaya,2017,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2804,India,17,Meghalaya,2017,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
2805,India,17,Meghalaya,2017,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,59.1
2806,India,17,Meghalaya,2017,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2807,India,17,Meghalaya,2017,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2808,India,17,Meghalaya,2017,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2809,India,17,Meghalaya,2017,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2810,India,17,Meghalaya,2018,NER,Capacity,SMALL HYDRO,,,,31.03
2811,India,17,Meghalaya,2018,NER,Capacity,SOLAR,,,,0.02
2812,India,17,Meghalaya,2018,NER,Potential,BIOMASS,RENEWABLE,,,11
2813,India,17,Meghalaya,2018,NER,Potential,SMALL HYDRO,RENEWABLE,,,230
2814,India,17,Meghalaya,2018,NER,Potential,SOLAR,RENEWABLE,,,5860
2815,India,17,Meghalaya,2018,NER,Potential,WASTE,RENEWABLE,,,2
2816,India,17,Meghalaya,2018,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2817,India,17,Meghalaya,2018,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,227.751
2818,India,17,Meghalaya,2018,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,18.152
2819,India,17,Meghalaya,2018,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2820,India,17,Meghalaya,2018,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,1140.26
2821,India,17,Meghalaya,2018,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2822,India,17,Meghalaya,2018,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
2823,India,17,Meghalaya,2018,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,70.56
2824,India,17,Meghalaya,2018,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2825,India,17,Meghalaya,2018,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2826,India,17,Meghalaya,2018,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2827,India,17,Meghalaya,2018,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2828,India,17,Meghalaya,2019,NER,Capacity,SMALL HYDRO,,,,32.53
2829,India,17,Meghalaya,2019,NER,Capacity,SOLAR,,,,0.12
2830,India,17,Meghalaya,2019,NER,Potential,BIOMASS,RENEWABLE,,,11
2831,India,17,Meghalaya,2019,NER,Potential,SMALL HYDRO,RENEWABLE,,,230
2832,India,17,Meghalaya,2019,NER,Potential,SOLAR,RENEWABLE,,,5860
2833,India,17,Meghalaya,2019,NER,Potential,WASTE,RENEWABLE,,,2
2834,India,17,Meghalaya,2019,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2835,India,17,Meghalaya,2019,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,142.63
2836,India,17,Meghalaya,2019,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,18.286
2837,India,17,Meghalaya,2019,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2838,India,17,Meghalaya,2019,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,929.53
2839,India,17,Meghalaya,2019,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2840,India,17,Meghalaya,2019,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
2841,India,17,Meghalaya,2019,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,50.51
2842,India,17,Meghalaya,2019,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2843,India,17,Meghalaya,2019,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2844,India,17,Meghalaya,2019,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2845,India,17,Meghalaya,2019,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2846,India,17,Meghalaya,2020,NER,Capacity,COGENERATION-BAGASSE,,,,13.8
2847,India,17,Meghalaya,2020,NER,Capacity,SMALL HYDRO,,,,32.53
2848,India,17,Meghalaya,2020,NER,Capacity,SOLAR,,,,0.12
2849,India,17,Meghalaya,2020,NER,Potential,BIOMASS,RENEWABLE,,,11
2850,India,17,Meghalaya,2020,NER,Potential,SMALL HYDRO,RENEWABLE,,,230
2851,India,17,Meghalaya,2020,NER,Potential,SOLAR,RENEWABLE,,,5860
2852,India,17,Meghalaya,2020,NER,Potential,WASTE,RENEWABLE,,,2
2853,India,17,Meghalaya,2020,NER,Potential,WIND,RENEWABLE,,,1
2854,India,17,Meghalaya,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2855,India,17,Meghalaya,2020,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,72.87
2856,India,17,Meghalaya,2020,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,17.896
2857,India,17,Meghalaya,2020,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2858,India,17,Meghalaya,2020,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,1018.29
2859,India,17,Meghalaya,2020,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2860,India,17,Meghalaya,2020,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
2861,India,17,Meghalaya,2020,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,62.73
2862,India,17,Meghalaya,2020,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2863,India,17,Meghalaya,2020,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2864,India,17,Meghalaya,2020,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2865,India,17,Meghalaya,2020,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2866,India,18,Assam,2011,NER,Capacity,SMALL HYDRO,,,,27.11
2867,India,18,Assam,2011,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2868,India,18,Assam,2011,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,534.52
2869,India,18,Assam,2011,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,5.29
2870,India,18,Assam,2011,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2871,India,18,Assam,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,792.02
2872,India,18,Assam,2011,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,406.78
2873,India,18,Assam,2011,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,664.99
2874,India,18,Assam,2011,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1833.87
2875,India,18,Assam,2011,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1296.06
2876,India,18,Assam,2011,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,47.165
2877,India,18,Assam,2011,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2878,India,18,Assam,2011,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2879,India,18,Assam,2011,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2880,India,18,Assam,2012,NER,Capacity,SMALL HYDRO,,,,31.11
2881,India,18,Assam,2012,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2882,India,18,Assam,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,992.06
2883,India,18,Assam,2012,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,460.94
2884,India,18,Assam,2012,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1765.17
2885,India,18,Assam,2012,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1337.72
2886,India,18,Assam,2012,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,54.124
2887,India,18,Assam,2012,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2888,India,18,Assam,2012,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2889,India,18,Assam,2012,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2890,India,18,Assam,2013,NER,Capacity,SMALL HYDRO,,,,31.11
2891,India,18,Assam,2013,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2892,India,18,Assam,2013,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,534.54
2893,India,18,Assam,2013,,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,0
2894,India,18,Assam,2013,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,6.21
2895,India,18,Assam,2013,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2896,India,18,Assam,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,759.58
2897,India,18,Assam,2013,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,343.04
2898,India,18,Assam,2013,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,728.05
2899,India,18,Assam,2013,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1680.33
2900,India,18,Assam,2013,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1419.34
2901,India,18,Assam,2013,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,54.124
2902,India,18,Assam,2013,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2903,India,18,Assam,2013,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2904,India,18,Assam,2013,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2905,India,18,Assam,2014,NER,Capacity,SMALL HYDRO,,,,34.11
2906,India,18,Assam,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2907,India,18,Assam,2014,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,582.79
2908,India,18,Assam,2014,,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,0
2909,India,18,Assam,2014,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,6.21
2910,India,18,Assam,2014,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2911,India,18,Assam,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,793.81
2912,India,18,Assam,2014,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,422.14
2913,India,18,Assam,2014,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,774.71
2914,India,18,Assam,2014,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1726.39
2915,India,18,Assam,2014,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1422.88
2916,India,18,Assam,2014,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,59.343
2917,India,18,Assam,2014,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2918,India,18,Assam,2014,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2919,India,18,Assam,2014,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2920,India,18,Assam,2014,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2921,India,18,Assam,2014,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2922,India,18,Assam,2015,NER,Capacity,SMALL HYDRO,,,,34.11
2923,India,18,Assam,2015,NER,Potential,BIOMASS,RENEWABLE,,,212
2924,India,18,Assam,2015,NER,Potential,SMALL HYDRO,RENEWABLE,,,239
2925,India,18,Assam,2015,NER,Potential,SOLAR,RENEWABLE,,,13760
2926,India,18,Assam,2015,NER,Potential,WASTE,RENEWABLE,,,8
2927,India,18,Assam,2015,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2928,India,18,Assam,2015,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,417.98
2929,India,18,Assam,2015,,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,0
2930,India,18,Assam,2015,,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,0
2931,India,18,Assam,2015,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,6.29
2932,India,18,Assam,2015,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2933,India,18,Assam,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,629.46
2934,India,18,Assam,2015,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,402.43
2935,India,18,Assam,2015,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,929.74
2936,India,18,Assam,2015,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1741.04
2937,India,18,Assam,2015,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1526.91
2938,India,18,Assam,2015,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,59.343
2939,India,18,Assam,2015,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2940,India,18,Assam,2015,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,0
2941,India,18,Assam,2015,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2942,India,18,Assam,2015,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2943,India,18,Assam,2015,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2944,India,18,Assam,2016,NER,Capacity,SMALL HYDRO,,,,34.11
2945,India,18,Assam,2016,NER,Potential,WIND,RENEWABLE,,,112
2946,India,18,Assam,2016,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2947,India,18,Assam,2016,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,312.27
2948,India,18,Assam,2016,,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,117.12
2949,India,18,Assam,2016,,Generation,COAL,NON-RENEWABLE,UTILITY,STATE,0
2950,India,18,Assam,2016,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,6.03
2951,India,18,Assam,2016,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2952,India,18,Assam,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,781.8
2953,India,18,Assam,2016,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,408.88
2954,India,18,Assam,2016,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,890.42
2955,India,18,Assam,2016,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1758.83
2956,India,18,Assam,2016,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1455.49
2957,India,18,Assam,2016,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,59.343
2958,India,18,Assam,2016,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2959,India,18,Assam,2016,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,31.601
2960,India,18,Assam,2016,,Generation,WASTE,RENEWABLE,UTILITY,UTILITY-RE,0
2961,India,18,Assam,2016,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2962,India,18,Assam,2016,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2963,India,18,Assam,2017,NER,Capacity,SMALL HYDRO,,,,34.11
2964,India,18,Assam,2017,NER,Capacity,SOLAR,,,,11.78
2965,India,18,Assam,2017,NER,Potential,BIOMASS,RENEWABLE,,,212
2966,India,18,Assam,2017,NER,Potential,SMALL HYDRO,RENEWABLE,,,239
2967,India,18,Assam,2017,NER,Potential,SOLAR,RENEWABLE,,,13760
2968,India,18,Assam,2017,NER,Potential,WASTE,RENEWABLE,,,8
2969,India,18,Assam,2017,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2970,India,18,Assam,2017,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,307.305
2971,India,18,Assam,2017,,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,1680.27
2972,India,18,Assam,2017,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,6.047
2973,India,18,Assam,2017,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2974,India,18,Assam,2017,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,1285.37
2975,India,18,Assam,2017,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,396.59
2976,India,18,Assam,2017,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,749.438
2977,India,18,Assam,2017,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1572.63
2978,India,18,Assam,2017,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,1243.61
2979,India,18,Assam,2017,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
2980,India,18,Assam,2017,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,11.467
2981,India,18,Assam,2017,,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
2982,India,18,Assam,2017,,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,2.69
2983,India,18,Assam,2017,,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
2984,India,18,Assam,2017,,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
2985,India,18,Assam,2018,NER,Capacity,SMALL HYDRO,,,,34.11
2986,India,18,Assam,2018,NER,Capacity,SOLAR,,,,12.45
2987,India,18,Assam,2018,NER,Potential,BIOMASS,RENEWABLE,,,279
2988,India,18,Assam,2018,NER,Potential,SMALL HYDRO,RENEWABLE,,,202
2989,India,18,Assam,2018,NER,Potential,SOLAR,RENEWABLE,,,13760
2990,India,18,Assam,2018,NER,Potential,WASTE,RENEWABLE,,,8
2991,India,18,Assam,2018,,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
2992,India,18,Assam,2018,,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,332.894
2993,India,18,Assam,2018,,Generation,COAL,NON-RENEWABLE,UTILITY,CENTRAL,1732.17
2994,India,18,Assam,2018,,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0.417
2995,India,18,Assam,2018,,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
2996,India,18,Assam,2018,,Generation,HYDRO,NON-RENEWABLE,UTILITY,CENTRAL,1433.6
2997,India,18,Assam,2018,,Generation,HYDRO,NON-RENEWABLE,UTILITY,STATE,484.98
2998,India,18,Assam,2018,,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,868.312
2999,India,18,Assam,2018,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,CENTRAL,1598.25
3000,India,18,Assam,2018,,Generation,NATURAL GAS,NON-RENEWABLE,UTILITY,STATE,983.89
3001,India,18,Assam,2018,,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
3002,India,18,Assam,2018,,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,16.13
