Rowid,Country,State lgd code,State,Year,Types of coal,Coal consuming sectors,Coal consumed
1767,India,33,Tamil Nadu,2014,RAW COAL,CEMENT,0.127
1768,India,33,Tamil Nadu,2014,RAW COAL,OTHER,0.031
1769,India,33,Tamil Nadu,2014,RAW COAL,POWER (CAPTIVE),0.614
1770,India,33,Tamil Nadu,2014,RAW COAL,POWER (UTILITY),14.863
1771,India,33,Tamil Nadu,2014,RAW COAL,PULP & PAPER,0.015
1772,India,33,Tamil Nadu,2014,RAW COAL,SPONGE IRON,0.001
1773,India,33,Tamil Nadu,2014,WASHED COAL,METALLURGICAL USE- COKERIES,0.002
1774,India,33,Tamil Nadu,2015,LIGNITE,BRICKS,0.013
1775,India,33,Tamil Nadu,2015,LIGNITE,CEMENT,0.755
1776,India,33,Tamil Nadu,2015,LIGNITE,CHEMICAL,0.007
1777,India,33,Tamil Nadu,2015,LIGNITE,OTHER,0.055
1778,India,33,Tamil Nadu,2015,LIGNITE,POWER (UTILITY),24.494
1779,India,33,Tamil Nadu,2015,LIGNITE,PULP & PAPER,0.093
1780,India,33,Tamil Nadu,2015,LIGNITE,STEEL (BOILERS),0.023
1781,India,33,Tamil Nadu,2015,LIGNITE,TEXTILES & RAYONS,0.001
1782,India,33,Tamil Nadu,2015,RAW COAL,OTHER,0.174
1783,India,33,Tamil Nadu,2015,RAW COAL,POWER (CAPTIVE),1.003
1784,India,33,Tamil Nadu,2015,RAW COAL,POWER (UTILITY),16.659
1785,India,33,Tamil Nadu,2015,RAW COAL,PULP & PAPER,0.012
1786,India,33,Tamil Nadu,2016,LIGNITE,BRICKS,0.008
1787,India,33,Tamil Nadu,2016,LIGNITE,CEMENT,0.035
1788,India,33,Tamil Nadu,2016,LIGNITE,OTHER,0.034
1789,India,33,Tamil Nadu,2016,LIGNITE,POWER (UTILITY),23.594
1790,India,33,Tamil Nadu,2016,LIGNITE,PULP & PAPER,0.043
1791,India,33,Tamil Nadu,2016,LIGNITE,STEEL (BOILERS),0.002
1792,India,33,Tamil Nadu,2016,LIGNITE,TEXTILES & RAYONS,0.001
1793,India,33,Tamil Nadu,2016,RAW COAL,CEMENT,0.12
1794,India,33,Tamil Nadu,2016,RAW COAL,OTHER,0.019
1795,India,33,Tamil Nadu,2016,RAW COAL,POWER (CAPTIVE),0.71
1796,India,33,Tamil Nadu,2016,RAW COAL,POWER (UTILITY),19.765
1797,India,33,Tamil Nadu,2016,RAW COAL,PULP & PAPER,0.02
1798,India,33,Tamil Nadu,2017,LIGNITE,BRICKS,0.009
1799,India,33,Tamil Nadu,2017,LIGNITE,CEMENT,0.002
1800,India,33,Tamil Nadu,2017,LIGNITE,CHEMICAL,0
1801,India,33,Tamil Nadu,2017,LIGNITE,FERTILISERS,0
1802,India,33,Tamil Nadu,2017,LIGNITE,OTHER,0.039
1803,India,33,Tamil Nadu,2017,LIGNITE,POWER (CAPTIVE),1.167
1804,India,33,Tamil Nadu,2017,LIGNITE,POWER (UTILITY),22.871
1805,India,33,Tamil Nadu,2017,LIGNITE,PULP & PAPER,0.042
1806,India,33,Tamil Nadu,2017,LIGNITE,STEEL (BOILERS),0.035
1807,India,33,Tamil Nadu,2017,RAW COAL,CEMENT,0.079
1808,India,33,Tamil Nadu,2017,RAW COAL,OTHER,0.284
1809,India,33,Tamil Nadu,2017,RAW COAL,POWER (CAPTIVE),0.039
1810,India,33,Tamil Nadu,2017,RAW COAL,POWER (UTILITY),19.171
1811,India,33,Tamil Nadu,2017,RAW COAL,PULP & PAPER,0.016
1812,India,33,Tamil Nadu,2018,LIGNITE,BRICKS,0.009
1813,India,33,Tamil Nadu,2018,LIGNITE,CEMENT,0.227
1814,India,33,Tamil Nadu,2018,LIGNITE,CHEMICAL,0
1815,India,33,Tamil Nadu,2018,LIGNITE,FERTILISERS,0
1816,India,33,Tamil Nadu,2018,LIGNITE,OTHER,0.081
1817,India,33,Tamil Nadu,2018,LIGNITE,POWER (CAPTIVE),1.046
1818,India,33,Tamil Nadu,2018,LIGNITE,POWER (UTILITY),21.861
1819,India,33,Tamil Nadu,2018,LIGNITE,PULP & PAPER,0.054
1820,India,33,Tamil Nadu,2018,LIGNITE,STEEL (BOILERS),0.12
1821,India,33,Tamil Nadu,2018,RAW COAL,CEMENT,0.072
1822,India,33,Tamil Nadu,2018,RAW COAL,OTHER,0.023
1823,India,33,Tamil Nadu,2018,RAW COAL,POWER (CAPTIVE),0.474
1824,India,33,Tamil Nadu,2018,RAW COAL,POWER (UTILITY),22.701
1825,India,33,Tamil Nadu,2018,RAW COAL,PULP & PAPER,0.023
1826,India,33,Tamil Nadu,2018,WASHED COAL,POWER (UTILITY),0.13
1827,India,33,Tamil Nadu,2019,LIGNITE,BRICKS,0.011
1828,India,33,Tamil Nadu,2019,LIGNITE,CEMENT,1.212
1829,India,33,Tamil Nadu,2019,LIGNITE,CHEMICAL,0.004
1830,India,33,Tamil Nadu,2019,LIGNITE,OTHER,0.099
1831,India,33,Tamil Nadu,2019,LIGNITE,OTHER BASIC-METAL (ALUMINIUM ETC),0.004
1832,India,33,Tamil Nadu,2019,LIGNITE,POWER (CAPTIVE),1.366
1833,India,33,Tamil Nadu,2019,LIGNITE,POWER (UTILITY),21.582
1834,India,33,Tamil Nadu,2019,LIGNITE,PULP & PAPER,0.139
1835,India,33,Tamil Nadu,2019,LIGNITE,STEEL (BOILERS),0.094
1836,India,33,Tamil Nadu,2019,RAW COAL,CEMENT,0.096
1837,India,33,Tamil Nadu,2019,RAW COAL,OTHER,0.026
1838,India,33,Tamil Nadu,2019,RAW COAL,POWER (CAPTIVE),0.357
1839,India,33,Tamil Nadu,2019,RAW COAL,POWER (UTILITY),24.167
1840,India,33,Tamil Nadu,2019,RAW COAL,PULP & PAPER,0.012
1841,India,33,Tamil Nadu,2020,LIGNITE,BRICKS,0.011
1842,India,33,Tamil Nadu,2020,LIGNITE,CEMENT,0.628
1843,India,33,Tamil Nadu,2020,LIGNITE,METALLURGICAL USE- DIRECT FEED,0.021
1844,India,33,Tamil Nadu,2020,LIGNITE,OTHER,0.111
1845,India,33,Tamil Nadu,2020,LIGNITE,POWER (CAPTIVE),22.897
1846,India,33,Tamil Nadu,2020,LIGNITE,PULP & PAPER,0.108
1847,India,33,Tamil Nadu,2020,RAW COAL,BRICKS,0.002
1848,India,33,Tamil Nadu,2020,RAW COAL,CEMENT,0.089
1849,India,33,Tamil Nadu,2020,RAW COAL,OTHER,0.083
1850,India,33,Tamil Nadu,2020,RAW COAL,POWER (CAPTIVE),18.2
1851,India,33,Tamil Nadu,2020,RAW COAL,PULP & PAPER,0.004
1852,India,36,Telangana,2011,RAW COAL,BRICKS,0.0434483765747585406710
1853,India,36,Telangana,2011,RAW COAL,CEMENT,1.7813834395651001675110
1854,India,36,Telangana,2011,RAW COAL,CHEMICAL,0.10941091192007377968970
1855,India,36,Telangana,2011,RAW COAL,OTHER,1.13439761384278662551920
1856,India,36,Telangana,2011,RAW COAL,POWER (CAPTIVE),1.32833536746284520251430
1857,India,36,Telangana,2011,RAW COAL,POWER (UTILITY),14.68239140033567703474920
1858,India,36,Telangana,2011,RAW COAL,PULP & PAPER,0.38274069909946387191090
1859,India,36,Telangana,2011,RAW COAL,SPONGE IRON,0.32428288334433419900810
1860,India,36,Telangana,2011,RAW COAL,STEEL (BOILERS),0.04779321423223439473810
1861,India,36,Telangana,2011,RAW COAL,TEXTILES & RAYONS,0.01224454248925013418910
1862,India,36,Telangana,2011,WASHED COAL,BRICKS,0.00118495572476614201830
1863,India,36,Telangana,2011,WASHED COAL,CEMENT,0.08136695976727508525660
1864,India,36,Telangana,2011,WASHED COAL,METALLURGICAL USE- COKERIES,0.15206931801165489234850
1865,India,36,Telangana,2011,WASHED COAL,OTHER,0.04028849464204882862220
1866,India,36,Telangana,2011,WASHED COAL,POWER (CAPTIVE),0.01540442442195984623790
1867,India,36,Telangana,2011,WASHED COAL,POWER (UTILITY),0.09242654653175907742740
1868,India,36,Telangana,2011,WASHED COAL,SPONGE IRON,0.00197492620794357003050
1869,India,36,Telangana,2011,WASHED COAL,TEXTILES & RAYONS,0.00631976386541942409760
1870,India,36,Telangana,2012,RAW COAL,BRICKS,0.02014424732102441431110
1871,India,36,Telangana,2012,RAW COAL,CEMENT,1.63326397396933241522350
1872,India,36,Telangana,2012,RAW COAL,CHEMICAL,0.08571179742475093932370
1873,India,36,Telangana,2012,RAW COAL,METALLURGICAL USE- DIRECT FEED,0.04305339133316982666490
1874,India,36,Telangana,2012,RAW COAL,OTHER,1.27461737460678009768470
1875,India,36,Telangana,2012,RAW COAL,POWER (CAPTIVE),1.32043566263107092239230
1876,India,36,Telangana,2012,RAW COAL,POWER (UTILITY),17.1107606656230907442520
1877,India,36,Telangana,2012,RAW COAL,PULP & PAPER,0.34403214542376989931310
1878,India,36,Telangana,2012,RAW COAL,SPONGE IRON,0.30571857698966464072140
1879,India,36,Telangana,2012,RAW COAL,TEXTILES & RAYONS,0.00987463103971785015250
1880,India,36,Telangana,2012,WASHED COAL,METALLURGICAL USE- COKERIES,0.18603804878828429687310
1881,India,36,Telangana,2013,RAW COAL,BRICKS,0.00236991144953228403660
1882,India,36,Telangana,2013,RAW COAL,CEMENT,1.60206013988382400874160
1883,India,36,Telangana,2013,RAW COAL,CHEMICAL,0.07860206307615408721390
1884,India,36,Telangana,2013,RAW COAL,METALLURGICAL USE- COKERIES,0.03001887836074226446360
1885,India,36,Telangana,2013,RAW COAL,OTHER,1.11267342555540735518370
1886,India,36,Telangana,2013,RAW COAL,POWER (CAPTIVE),1.38007843411096673731340
1887,India,36,Telangana,2013,RAW COAL,POWER (UTILITY),18.88463938559800534564710
1888,India,36,Telangana,2013,RAW COAL,PULP & PAPER,0.34126724873264890127040
1889,India,36,Telangana,2013,RAW COAL,SPONGE IRON,0.24133598261070425772710
1890,India,36,Telangana,2013,RAW COAL,TEXTILES & RAYONS,0.00671474910700813810370
1891,India,36,Telangana,2013,WASHED COAL,METALLURGICAL USE- COKERIES,0.2053923256261312831720
1892,India,36,Telangana,2014,RAW COAL,BRICKS,0.00908466055654042214030
1893,India,36,Telangana,2014,RAW COAL,CEMENT,1.44248610228198355027720
1894,India,36,Telangana,2014,RAW COAL,CHEMICAL,0.08215693025045251326880
1895,India,36,Telangana,2014,RAW COAL,METALLURGICAL USE- DIRECT FEED,0.00276489669112099804270
1896,India,36,Telangana,2014,RAW COAL,OTHER,1.25447312728575568337360
1897,India,36,Telangana,2014,RAW COAL,POWER (CAPTIVE),1.28014716798902209377010
1898,India,36,Telangana,2014,RAW COAL,POWER (UTILITY),17.79329516308838854679280
1899,India,36,Telangana,2014,RAW COAL,PULP & PAPER,0.38945544820647201001460
1900,India,36,Telangana,2014,RAW COAL,SPONGE IRON,0.17260855057426802066570
1901,India,36,Telangana,2014,RAW COAL,TEXTILES & RAYONS,0.00552979338224199608540
1902,India,36,Telangana,2014,WASHED COAL,POWER (CAPTIVE),0.16510383098408245454980
1903,India,36,Telangana,2015,RAW COAL,BRICKS,0.01
1904,India,36,Telangana,2015,RAW COAL,CHEMICAL,0.175
1905,India,36,Telangana,2015,RAW COAL,OTHER,5.004
1906,India,36,Telangana,2015,RAW COAL,POWER (CAPTIVE),1.452
1907,India,36,Telangana,2015,RAW COAL,POWER (UTILITY),26.699
1908,India,36,Telangana,2015,RAW COAL,PULP & PAPER,0.568
1909,India,36,Telangana,2015,RAW COAL,TEXTILES & RAYONS,0.019
1910,India,36,Telangana,2016,RAW COAL,BRICKS,0.008
1911,India,36,Telangana,2016,RAW COAL,CEMENT,1.455
1912,India,36,Telangana,2016,RAW COAL,CHEMICAL,0.173
1913,India,36,Telangana,2016,RAW COAL,COLLIERY OWN - CONSUMPTION,0.035
1914,India,36,Telangana,2016,RAW COAL,OTHER,2.551
1915,India,36,Telangana,2016,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.069
1916,India,36,Telangana,2016,RAW COAL,POWER (CAPTIVE),1.3
1917,India,36,Telangana,2016,RAW COAL,POWER (UTILITY),24.611
1918,India,36,Telangana,2016,RAW COAL,PULP & PAPER,0.467
1919,India,36,Telangana,2016,RAW COAL,SPONGE IRON,0.074
1920,India,36,Telangana,2016,RAW COAL,TEXTILES & RAYONS,0.019
1921,India,36,Telangana,2017,RAW COAL,CEMENT,1.174
1922,India,36,Telangana,2017,RAW COAL,CHEMICAL,0.141
1923,India,36,Telangana,2017,RAW COAL,COLLIERY OWN - CONSUMPTION,0.014
1924,India,36,Telangana,2017,RAW COAL,OTHER,2.131
1925,India,36,Telangana,2017,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.084
1926,India,36,Telangana,2017,RAW COAL,POWER (CAPTIVE),1.062
1927,India,36,Telangana,2017,RAW COAL,POWER (UTILITY),27.993
1928,India,36,Telangana,2017,RAW COAL,PULP & PAPER,0.533
1929,India,36,Telangana,2017,RAW COAL,SPONGE IRON,0.079
1930,India,36,Telangana,2017,RAW COAL,TEXTILES & RAYONS,0.016
1931,India,36,Telangana,2018,RAW COAL,CEMENT,1.443
1932,India,36,Telangana,2018,RAW COAL,CHEMICAL,0.123
1933,India,36,Telangana,2018,RAW COAL,OTHER,2.55
1934,India,36,Telangana,2018,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.092
1935,India,36,Telangana,2018,RAW COAL,POWER (CAPTIVE),1.513
1936,India,36,Telangana,2018,RAW COAL,POWER (UTILITY),33.442
1937,India,36,Telangana,2018,RAW COAL,PULP & PAPER,0.657
1938,India,36,Telangana,2018,RAW COAL,SPONGE IRON,0.198
1939,India,36,Telangana,2018,RAW COAL,TEXTILES & RAYONS,0.02
1940,India,36,Telangana,2019,RAW COAL,CEMENT,1.707
1941,India,36,Telangana,2019,RAW COAL,CHEMICAL,0.124
1942,India,36,Telangana,2019,RAW COAL,OTHER,2.237
1943,India,36,Telangana,2019,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.113
1944,India,36,Telangana,2019,RAW COAL,POWER (CAPTIVE),1.677
1945,India,36,Telangana,2019,RAW COAL,POWER (UTILITY),31.867
1946,India,36,Telangana,2019,RAW COAL,PULP & PAPER,0.783
1947,India,36,Telangana,2019,RAW COAL,SPONGE IRON,0.192
1948,India,36,Telangana,2019,RAW COAL,TEXTILES & RAYONS,0.022
1949,India,36,Telangana,2020,RAW COAL,CEMENT,1.246
1950,India,36,Telangana,2020,RAW COAL,CHEMICAL,0.113
1951,India,36,Telangana,2020,RAW COAL,OTHER,1.762
1952,India,36,Telangana,2020,RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.108
1953,India,36,Telangana,2020,RAW COAL,POWER (CAPTIVE),31.29
1954,India,36,Telangana,2020,RAW COAL,PULP & PAPER,0.836
1955,India,36,Telangana,2020,RAW COAL,SPONGE IRON,0.074
1956,India,36,Telangana,2020,RAW COAL,TEXTILES & RAYONS,0.012
1957,India,37,Ladakh,2011,RAW COAL,CEMENT,0
1958,India,37,Ladakh,2011,RAW COAL,OTHER,0
1959,India,37,Ladakh,2012,RAW COAL,BRICKS,0
1960,India,37,Ladakh,2012,RAW COAL,CEMENT,0
1961,India,37,Ladakh,2012,RAW COAL,OTHER,0
1962,India,37,Ladakh,2012,RAW COAL,TEXTILES & RAYONS,0
1963,India,37,Ladakh,2014,RAW COAL,BRICKS,0
1964,India,37,Ladakh,2014,RAW COAL,CEMENT,0
1965,India,37,Ladakh,2014,RAW COAL,OTHER,0
1966,India,37,Ladakh,2014,RAW COAL,PULP & PAPER,0
1967,India,37,Ladakh,2014,RAW COAL,TEXTILES & RAYONS,0
1968,India,37,Ladakh,2015,RAW COAL,BRICKS,0
1969,India,37,Ladakh,2015,RAW COAL,CEMENT,0
1970,India,37,Ladakh,2015,RAW COAL,OTHER,0
1971,India,37,Ladakh,2015,RAW COAL,PULP & PAPER,0
1972,India,37,Ladakh,2015,RAW COAL,TEXTILES & RAYONS,0
1973,India,37,Ladakh,2016,RAW COAL,BRICKS,0
1974,India,37,Ladakh,2016,RAW COAL,CEMENT,0
1975,India,37,Ladakh,2016,RAW COAL,TEXTILES & RAYONS,0
1976,India,37,Ladakh,2017,RAW COAL,BRICKS,0.00015189567668906901768
1977,India,37,Ladakh,2017,RAW COAL,CEMENT,0.00017088263627520264489
1978,India,37,Ladakh,2017,RAW COAL,OTHER,0.00001898695958613362721
1979,India,37,Ladakh,2018,RAW COAL,CEMENT,0.00051264790882560793467
1980,India,37,Ladakh,2018,RAW COAL,OTHER,0.00074049142385921146119
1981,India,37,Ladakh,2019,RAW COAL,CEMENT,0
1982,India,37,Ladakh,2019,RAW COAL,OTHER,0
1983,India,37,Ladakh,2020,RAW COAL,CEMENT,0.00015189567668906901768
1984,India,37,Ladakh,2020,RAW COAL,OTHER,0.0001898695958613362721
